,G,Date,Team,Home/Away,Opp,W/L,Team Score,Oponent Score,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Home Indicator,Win Indicator,Team ORtg,Team DRtg,Team Pace,Team FTr,Team 3PAr,Team TS%,Team TRB%,Team AST%,Team STL%,Team BLK%,Team eFG%,Team TOV%,Team ORB%,Team FT/FGA,Opponent eFG%,Opponent TOV%,Opponent DRB%,Opponent FT/FGA
27,26,2017-12-08,DAL,Away,MIL,L,102,109,35,75,0.467,10,24,0.41700000000000004,22,26,0.846,4,36,18,6,2,11,22,36,79,0.456,8,24,0.33299999999999996,29,34,0.853,7,40,20,10,6,10,24,0,0,109.6,117.1,93.1,0.34700000000000003,0.32,0.59,47.4,51.4,6.4,3.6,0.5329999999999999,11.3,10.8,0.293,0.506,9.6,82.1,0.36700000000000005
28,27,2017-12-10,DAL,Away,MIN,L,92,97,37,81,0.457,11,31,0.355,7,9,0.778,6,33,23,6,5,10,22,36,72,0.5,7,19,0.368,18,23,0.7829999999999999,9,45,19,7,2,18,19,0,0,103.7,109.3,88.7,0.111,0.38299999999999995,0.541,42.3,62.2,6.8,9.4,0.525,10.5,14.3,0.086,0.5489999999999999,18.0,75.0,0.25
29,28,2017-12-12,DAL,Home,SAS,W,95,89,38,89,0.42700000000000005,9,24,0.375,10,12,0.833,8,49,17,8,2,6,19,35,87,0.402,7,28,0.25,12,19,0.632,10,49,20,4,5,10,11,1,1,103.1,96.6,92.1,0.135,0.27,0.504,50.0,44.7,8.7,3.4,0.478,6.0,17.0,0.11199999999999999,0.44299999999999995,9.5,80.4,0.138
30,29,2017-12-14,DAL,Away,GSW,L,97,112,37,82,0.451,10,29,0.345,13,17,0.765,8,31,25,7,1,11,16,47,78,0.603,11,22,0.5,7,9,0.778,4,41,35,7,4,16,22,0,0,105.5,121.8,92.0,0.207,0.354,0.542,43.1,67.6,7.6,1.8,0.512,10.9,17.8,0.159,0.6729999999999999,16.3,85.2,0.09
31,30,2017-12-16,DAL,Away,SAS,L,96,98,39,80,0.488,10,28,0.35700000000000004,8,9,0.889,4,38,23,4,4,9,16,39,86,0.45299999999999996,5,25,0.2,15,18,0.833,9,41,14,5,2,7,14,0,0,108.2,110.5,88.7,0.113,0.35,0.5720000000000001,48.1,59.0,4.5,6.6,0.55,9.7,11.1,0.1,0.483,6.9,79.1,0.174
32,31,2017-12-18,DAL,Home,PHO,L,91,97,32,88,0.364,11,37,0.297,16,17,0.941,8,42,21,10,5,15,18,35,79,0.44299999999999995,10,25,0.4,17,22,0.773,7,49,17,9,6,18,25,1,0,91.9,98.0,99.0,0.193,0.42,0.47700000000000004,46.2,65.6,10.1,9.3,0.426,13.6,16.0,0.182,0.506,16.9,82.9,0.215
33,32,2017-12-20,DAL,Home,DET,W,110,93,40,75,0.5329999999999999,14,30,0.467,16,20,0.8,4,37,22,6,7,12,17,33,77,0.429,7,24,0.292,20,22,0.909,6,38,19,4,2,12,19,1,1,121.3,102.5,90.7,0.267,0.4,0.6559999999999999,49.3,55.0,6.6,13.2,0.627,12.5,11.1,0.213,0.474,12.2,84.6,0.26
34,33,2017-12-22,DAL,Away,MIA,L,101,113,38,75,0.507,17,35,0.486,8,11,0.727,3,22,28,5,2,8,12,46,72,0.639,16,25,0.64,5,6,0.833,2,35,25,3,3,11,15,0,0,121.1,135.4,83.4,0.147,0.467,0.633,38.6,73.7,6.0,4.3,0.62,9.1,8.3,0.107,0.75,12.8,90.5,0.069
35,34,2017-12-23,DAL,Away,ATL,L,107,112,43,85,0.506,9,33,0.273,12,15,0.8,7,30,31,8,3,10,17,42,75,0.56,10,24,0.41700000000000004,18,22,0.818,6,38,29,5,2,15,19,0,0,116.0,121.5,92.2,0.17600000000000002,0.38799999999999996,0.584,44.1,72.1,8.7,5.9,0.5589999999999999,9.8,17.9,0.141,0.627,15.0,79.3,0.24
36,35,2017-12-26,DAL,Home,TOR,W,98,93,40,94,0.426,6,24,0.25,12,16,0.75,16,56,20,5,11,13,24,30,89,0.337,9,29,0.31,24,32,0.75,16,53,16,10,7,10,24,1,1,103.3,98.0,94.9,0.17,0.255,0.485,51.4,50.0,5.3,18.3,0.457,11.4,30.2,0.128,0.38799999999999996,8.8,71.4,0.27
37,36,2017-12-27,DAL,Away,IND,W,98,94,40,78,0.513,8,29,0.276,10,15,0.667,4,35,26,7,3,9,12,38,79,0.48100000000000004,10,25,0.4,8,10,0.8,7,39,27,8,4,16,17,0,1,109.3,104.8,89.7,0.192,0.37200000000000005,0.579,47.3,65.0,7.8,5.6,0.564,9.6,11.1,0.128,0.544,16.1,81.6,0.10099999999999999
38,37,2017-12-29,DAL,Away,NOP,W,128,120,46,83,0.5539999999999999,22,39,0.564,14,18,0.778,5,43,27,5,4,15,23,42,85,0.494,8,31,0.258,28,32,0.875,4,31,28,8,6,8,19,0,1,127.7,119.7,100.2,0.217,0.47,0.7040000000000001,58.1,58.7,5.0,7.4,0.687,14.2,15.6,0.16899999999999998,0.541,7.5,90.5,0.32899999999999996
39,38,2017-12-31,DAL,Away,OKC,W,116,113,46,89,0.517,15,34,0.441,9,14,0.643,8,36,26,5,5,7,18,43,89,0.483,10,32,0.313,17,23,0.7390000000000001,11,45,18,4,4,11,20,0,1,123.3,120.1,94.1,0.157,0.382,0.609,44.4,56.5,5.3,8.8,0.601,6.9,19.0,0.10099999999999999,0.539,10.0,71.8,0.191
