,G,Date,Team,Home/Away,Opp,W/L,Team Score,Oponent Score,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Home Indicator,Win Indicator,Team ORtg,Team DRtg,Team Pace,Team FTr,Team 3PAr,Team TS%,Team TRB%,Team AST%,Team STL%,Team BLK%,Team eFG%,Team TOV%,Team ORB%,Team FT/FGA,Opponent eFG%,Opponent TOV%,Opponent DRB%,Opponent FT/FGA
37,36,2017-12-30,CLE,Away,UTA,L,101,104,34,81,0.42,12,40,0.3,21,26,0.8079999999999999,9,46,20,6,5,15,19,38,82,0.46299999999999997,10,31,0.32299999999999995,18,21,0.857,5,43,24,12,4,11,24,0,0,104.9,108.0,96.3,0.321,0.494,0.546,51.7,58.8,6.2,9.8,0.494,14.0,19.1,0.259,0.524,10.8,88.1,0.22
38,37,2018-01-02,CLE,Home,POR,W,127,110,43,83,0.518,13,32,0.406,28,37,0.757,8,40,28,11,4,10,17,42,90,0.467,13,32,0.406,13,19,0.684,13,43,25,5,5,15,29,1,1,129.2,111.9,98.3,0.446,0.386,0.64,48.2,65.1,11.2,6.9,0.596,9.2,21.1,0.337,0.539,13.2,71.1,0.14400000000000002
39,38,2018-01-03,CLE,Away,BOS,L,88,102,31,89,0.348,8,32,0.25,18,18,1.0,9,48,16,6,7,14,17,41,92,0.446,12,36,0.33299999999999996,8,11,0.727,9,52,27,9,2,15,20,0,0,87.7,101.7,100.3,0.20199999999999999,0.36,0.45399999999999996,48.0,51.6,6.0,12.5,0.39299999999999996,12.6,17.3,0.20199999999999999,0.511,13.4,81.3,0.087
40,39,2018-01-06,CLE,Away,ORL,W,131,127,47,94,0.5,15,34,0.441,22,31,0.71,14,45,25,11,2,17,26,49,98,0.5,14,37,0.37799999999999995,15,22,0.682,14,46,29,5,2,19,28,0,1,120.4,116.7,108.8,0.33,0.36200000000000004,0.609,49.5,53.2,10.1,3.3,0.58,13.6,30.4,0.23399999999999999,0.5710000000000001,15.0,68.9,0.153
41,40,2018-01-08,CLE,Away,MIN,L,99,127,37,84,0.44,13,38,0.342,12,16,0.75,8,37,26,0,4,13,15,52,100,0.52,10,31,0.32299999999999995,13,17,0.765,15,56,30,6,2,5,17,0,0,104.5,134.1,94.7,0.19,0.452,0.544,39.8,70.3,0.0,5.8,0.518,12.5,16.3,0.14300000000000002,0.57,4.4,65.9,0.13
44,41,2018-01-11,CLE,Away,TOR,L,99,133,34,89,0.382,6,26,0.231,25,30,0.833,9,35,18,3,4,9,16,53,106,0.5,18,42,0.429,9,13,0.6920000000000001,18,63,31,3,7,9,25,0,0,100.4,134.9,98.6,0.337,0.292,0.484,35.7,52.9,3.0,6.3,0.41600000000000004,8.1,16.7,0.281,0.585,7.5,59.1,0.085
45,42,2018-01-12,CLE,Away,IND,L,95,97,37,85,0.435,7,34,0.20600000000000002,14,19,0.737,9,46,19,12,5,11,15,39,85,0.45899999999999996,10,21,0.47600000000000003,9,12,0.75,6,44,16,5,4,14,18,0,0,99.6,101.7,95.3,0.22399999999999998,0.4,0.509,51.1,51.4,12.6,7.8,0.47600000000000003,10.5,19.1,0.165,0.518,13.4,86.0,0.106
46,43,2018-01-15,CLE,Home,GSW,L,108,118,43,94,0.457,7,28,0.25,15,22,0.682,12,43,26,9,5,15,22,41,85,0.48200000000000004,12,32,0.375,24,30,0.8,13,48,33,8,6,16,23,1,0,106.4,116.3,101.5,0.23399999999999999,0.298,0.521,47.3,60.5,8.9,9.4,0.495,12.6,25.5,0.16,0.5529999999999999,14.0,70.5,0.282
47,44,2018-01-18,CLE,Home,ORL,W,104,103,38,85,0.447,10,34,0.294,18,27,0.667,14,46,22,8,4,20,21,41,88,0.466,5,22,0.22699999999999998,16,21,0.762,9,42,25,12,6,14,22,1,1,103.9,102.9,100.1,0.318,0.4,0.537,52.3,57.9,8.0,6.1,0.506,17.1,29.8,0.212,0.494,12.6,78.0,0.182
48,45,2018-01-20,CLE,Home,OKC,L,124,148,46,89,0.517,10,37,0.27,22,27,0.815,3,28,32,7,4,15,18,58,100,0.58,14,30,0.467,18,28,0.643,16,52,37,9,2,13,23,1,0,113.8,135.8,109.0,0.303,0.41600000000000004,0.615,35.0,69.6,6.4,5.7,0.573,12.9,7.7,0.247,0.65,10.4,61.0,0.18
49,46,2018-01-23,CLE,Away,SAS,L,102,114,35,72,0.486,6,21,0.28600000000000003,26,31,0.8390000000000001,6,41,19,6,3,18,14,47,94,0.5,8,28,0.28600000000000003,12,16,0.75,13,45,23,11,4,9,19,0,0,106.3,118.8,96.0,0.431,0.292,0.596,47.7,54.3,6.3,4.5,0.528,17.4,15.8,0.361,0.5429999999999999,8.2,72.9,0.128
50,47,2018-01-26,CLE,Home,IND,W,115,108,46,82,0.561,13,37,0.35100000000000003,10,13,0.769,8,44,27,13,4,20,11,43,91,0.473,13,31,0.419,9,11,0.818,8,37,27,13,1,16,15,1,1,114.5,107.5,100.5,0.159,0.451,0.655,54.3,58.7,12.9,6.7,0.64,18.6,21.6,0.122,0.544,14.3,81.8,0.099
51,48,2018-01-28,CLE,Home,DET,W,121,104,42,83,0.506,15,35,0.429,22,26,0.846,4,45,27,2,3,10,14,40,95,0.42100000000000004,14,36,0.389,10,13,0.769,7,43,31,5,6,6,23,1,1,123.1,105.8,98.3,0.313,0.42200000000000004,0.6409999999999999,51.1,64.3,2.0,5.1,0.596,9.6,10.0,0.265,0.495,5.6,85.4,0.105
52,49,2018-01-30,CLE,Away,DET,L,114,125,38,84,0.452,13,35,0.371,25,32,0.7809999999999999,7,41,24,2,5,15,22,49,93,0.527,9,23,0.391,18,28,0.643,8,47,30,12,5,10,27,0,0,108.8,119.3,104.8,0.381,0.41700000000000004,0.581,46.6,63.2,1.9,7.1,0.53,13.3,15.2,0.298,0.575,8.7,81.0,0.19399999999999998
53,50,2018-01-31,CLE,Home,MIA,W,91,89,28,80,0.35,6,26,0.231,29,38,0.763,7,45,18,9,5,16,20,36,83,0.434,3,28,0.107,14,25,0.56,6,52,17,8,5,19,25,1,1,87.1,85.2,104.5,0.475,0.325,0.47,46.4,64.3,8.6,9.1,0.38799999999999996,14.2,13.2,0.363,0.452,16.8,86.4,0.16899999999999998
54,51,2018-02-03,CLE,Home,HOU,L,88,120,34,87,0.391,8,30,0.267,12,16,0.75,5,47,22,4,3,11,16,44,93,0.473,19,51,0.373,13,16,0.813,6,53,28,6,5,8,19,1,0,88.1,120.1,99.9,0.184,0.345,0.46799999999999997,47.0,64.7,4.0,7.1,0.43700000000000006,10.5,9.6,0.138,0.575,7.4,87.5,0.14
55,52,2018-02-06,CLE,Away,ORL,L,98,116,36,84,0.429,12,37,0.324,14,20,0.7,9,36,19,4,4,14,24,46,88,0.523,6,22,0.273,18,27,0.667,12,50,27,7,8,12,16,0,0,101.5,120.1,96.6,0.23800000000000002,0.44,0.528,41.9,52.8,4.1,6.1,0.5,13.1,19.1,0.16699999999999998,0.557,10.7,69.2,0.205
56,53,2018-02-07,CLE,Home,MIN,W,140,138,52,88,0.591,21,41,0.512,15,23,0.652,7,41,33,5,1,15,21,54,93,0.581,19,33,0.5760000000000001,11,12,0.917,4,35,33,7,4,11,19,1,1,133.6,131.7,94.9,0.261,0.466,0.713,53.9,63.5,4.8,1.7,0.71,13.3,18.4,0.17,0.6829999999999999,10.1,89.5,0.11800000000000001
57,54,2018-02-09,CLE,Away,ATL,W,123,107,46,86,0.535,15,35,0.429,16,24,0.667,6,43,31,8,4,9,17,37,83,0.446,16,44,0.364,17,19,0.895,6,42,20,4,4,12,18,0,1,126.7,110.2,97.1,0.27899999999999997,0.40700000000000003,0.637,50.6,67.4,8.2,10.3,0.622,8.5,14.3,0.18600000000000003,0.542,11.6,86.0,0.205
58,55,2018-02-11,CLE,Away,BOS,W,121,99,45,84,0.536,16,30,0.5329999999999999,15,20,0.75,5,41,22,7,6,11,20,36,89,0.40399999999999997,10,38,0.263,17,22,0.773,13,43,22,3,4,14,14,0,1,124.9,102.2,96.9,0.23800000000000002,0.35700000000000004,0.652,48.8,48.9,7.2,11.8,0.631,10.6,14.3,0.179,0.461,12.4,73.5,0.191
0,1,2017-10-18,DAL,Home,ATL,L,111,117,38,86,0.442,17,45,0.37799999999999995,18,21,0.857,9,41,27,5,4,15,19,48,94,0.511,9,18,0.5,12,15,0.8,14,50,20,11,6,13,18,1,0,112.6,118.7,98.6,0.244,0.523,0.583,45.1,71.1,5.1,5.3,0.541,13.6,20.0,0.209,0.5589999999999999,11.4,69.6,0.128
1,2,2017-10-20,DAL,Home,SAC,L,88,93,31,75,0.413,11,33,0.33299999999999996,15,21,0.7140000000000001,7,36,19,8,7,12,13,37,87,0.425,10,23,0.435,9,13,0.6920000000000001,16,57,20,8,3,14,18,1,0,100.2,105.9,87.9,0.28,0.44,0.522,38.7,61.3,9.1,10.9,0.48700000000000004,12.5,14.6,0.2,0.483,13.1,64.4,0.10300000000000001
2,3,2017-10-21,DAL,Away,HOU,L,91,107,31,84,0.369,13,31,0.419,16,21,0.762,8,41,19,6,0,14,19,39,82,0.47600000000000003,11,47,0.23399999999999999,18,22,0.818,8,54,17,12,4,13,24,0,0,94.4,111.0,96.4,0.25,0.369,0.488,43.2,61.3,6.2,0.0,0.446,13.1,14.8,0.19,0.5429999999999999,12.4,80.5,0.22
3,4,2017-10-23,DAL,Home,GSW,L,103,133,38,96,0.396,9,29,0.31,18,30,0.6,14,42,21,11,0,12,20,48,86,0.5579999999999999,15,39,0.385,22,26,0.846,10,50,33,6,8,16,23,1,0,100.2,129.4,102.8,0.313,0.302,0.47200000000000003,45.7,55.3,10.7,0.0,0.44299999999999995,9.9,25.9,0.188,0.645,14.1,73.7,0.256
4,5,2017-10-25,DAL,Home,MEM,W,103,94,36,74,0.486,11,26,0.423,20,29,0.69,4,35,20,6,4,11,20,33,72,0.45799999999999996,12,31,0.387,16,24,0.667,6,36,14,7,2,17,22,1,1,112.2,102.4,91.8,0.392,0.35100000000000003,0.594,49.3,55.6,6.5,9.8,0.561,11.3,11.8,0.27,0.542,17.1,83.8,0.222
5,6,2017-10-26,DAL,Away,MEM,L,91,96,32,94,0.34,10,34,0.294,17,20,0.85,18,53,20,10,3,14,22,30,73,0.41100000000000003,10,34,0.294,26,30,0.867,9,46,18,7,6,18,23,0,0,96.9,102.2,93.9,0.213,0.36200000000000004,0.44299999999999995,53.5,62.5,10.6,7.7,0.39399999999999996,12.0,32.7,0.18100000000000002,0.479,17.3,79.5,0.35600000000000004
6,7,2017-10-28,DAL,Home,PHI,L,110,112,38,74,0.514,19,40,0.475,15,19,0.789,3,33,22,7,2,17,15,43,87,0.494,16,35,0.457,10,14,0.7140000000000001,11,42,25,10,1,13,21,1,0,116.9,119.0,94.1,0.257,0.541,0.6679999999999999,44.0,57.9,7.4,3.8,0.642,17.1,8.8,0.203,0.586,12.2,73.2,0.115
7,8,2017-10-30,DAL,Away,UTA,L,89,104,34,76,0.447,12,24,0.5,9,11,0.818,9,42,17,4,3,24,16,38,81,0.469,16,35,0.457,12,15,0.8,6,35,25,16,8,14,17,0,0,94.8,110.8,93.8,0.145,0.316,0.55,54.5,50.0,4.3,6.5,0.526,22.9,23.7,0.11800000000000001,0.568,13.8,84.6,0.14800000000000002
8,9,2017-11-01,DAL,Away,LAC,L,98,119,35,89,0.39299999999999996,12,36,0.33299999999999996,16,20,0.8,9,38,20,8,5,14,22,41,78,0.526,13,28,0.46399999999999997,24,29,0.828,7,49,27,9,5,16,20,0,0,98.6,119.8,99.4,0.225,0.40399999999999997,0.501,43.7,57.1,8.1,10.0,0.461,12.5,17.6,0.18,0.609,15.0,80.6,0.308
9,10,2017-11-03,DAL,Home,NOP,L,94,99,34,88,0.386,9,34,0.265,17,22,0.773,9,47,19,4,7,15,24,36,89,0.40399999999999997,7,29,0.24100000000000002,20,26,0.769,9,53,23,9,4,12,22,1,0,92.8,97.8,101.3,0.25,0.386,0.48100000000000004,47.0,55.9,4.0,11.7,0.43799999999999994,13.3,17.0,0.193,0.444,10.7,80.9,0.225
10,11,2017-11-04,DAL,Away,MIN,L,99,112,40,86,0.465,10,27,0.37,9,12,0.75,7,31,18,7,2,16,19,43,79,0.544,10,24,0.41700000000000004,16,20,0.8,10,48,33,7,8,18,20,0,0,102.7,116.2,96.4,0.14,0.314,0.542,39.2,45.0,7.3,3.6,0.523,14.9,15.6,0.105,0.608,17.0,70.6,0.203
11,12,2017-11-07,DAL,Away,WAS,W,113,99,43,91,0.473,11,30,0.36700000000000005,16,20,0.8,11,53,26,6,8,11,23,32,75,0.42700000000000005,10,25,0.4,25,32,0.7809999999999999,3,39,21,5,5,15,19,0,1,114.3,100.1,98.9,0.22,0.33,0.5660000000000001,57.6,60.5,6.1,16.0,0.5329999999999999,9.9,23.4,0.17600000000000002,0.493,14.4,93.3,0.33299999999999996
12,13,2017-11-11,DAL,Home,CLE,L,104,111,39,92,0.424,10,34,0.294,16,21,0.762,9,42,21,7,3,10,26,35,81,0.43200000000000005,12,31,0.387,29,35,0.8290000000000001,10,53,18,8,3,17,18,1,0,103.4,110.4,100.6,0.228,0.37,0.514,44.2,53.8,7.0,6.0,0.478,9.0,17.3,0.174,0.506,15.0,76.7,0.358
13,14,2017-11-12,DAL,Away,OKC,L,99,110,37,87,0.425,11,37,0.297,14,18,0.778,11,41,18,9,4,20,20,36,72,0.5,15,32,0.469,23,30,0.767,3,37,21,10,4,15,23,0,0,100.7,111.9,98.3,0.207,0.425,0.521,52.6,48.6,9.2,10.0,0.489,17.4,24.4,0.161,0.604,15.0,90.9,0.319
14,15,2017-11-14,DAL,Home,SAS,L,91,97,33,81,0.40700000000000003,10,34,0.294,15,18,0.833,5,40,18,7,4,15,23,35,79,0.44299999999999995,6,26,0.231,21,27,0.778,8,47,18,9,7,12,16,1,0,95.6,101.9,95.2,0.222,0.42,0.512,46.0,54.5,7.4,7.5,0.469,14.4,11.4,0.185,0.48100000000000004,11.7,81.4,0.266
15,16,2017-11-17,DAL,Home,MIN,L,87,111,32,86,0.37200000000000005,8,38,0.21100000000000002,15,17,0.882,11,41,18,3,3,11,20,39,84,0.46399999999999997,13,30,0.433,20,23,0.87,11,48,27,7,0,10,18,1,0,96.2,122.8,90.4,0.198,0.442,0.465,46.1,56.3,3.3,5.6,0.419,10.5,22.9,0.174,0.542,9.6,73.2,0.23800000000000002
16,17,2017-11-18,DAL,Home,MIL,W,111,79,38,79,0.48100000000000004,19,38,0.5,16,19,0.8420000000000001,7,49,27,7,2,16,26,28,74,0.37799999999999995,6,25,0.24,17,31,0.5479999999999999,8,38,13,8,5,12,25,1,1,120.1,85.5,92.4,0.24100000000000002,0.48100000000000004,0.635,56.3,71.1,7.6,4.1,0.601,15.5,18.9,0.203,0.419,12.0,84.0,0.23
17,18,2017-11-20,DAL,Home,BOS,L,102,110,39,96,0.406,7,33,0.212,17,20,0.85,8,45,18,7,3,11,22,38,84,0.452,13,36,0.361,21,26,0.8079999999999999,5,53,24,8,4,17,24,1,0,96.3,103.9,95.9,0.20800000000000002,0.344,0.48700000000000004,45.9,46.2,6.6,6.3,0.44299999999999995,9.5,14.3,0.177,0.53,15.1,88.1,0.25
18,19,2017-11-22,DAL,Away,MEM,W,95,94,39,91,0.429,9,28,0.321,8,16,0.5,4,40,23,9,2,8,14,37,81,0.457,7,29,0.24100000000000002,13,14,0.929,6,52,25,7,6,17,25,0,1,96.0,95.0,98.9,0.17600000000000002,0.308,0.484,43.5,59.0,9.1,3.8,0.478,7.5,8.0,0.08800000000000001,0.5,16.3,85.7,0.16
19,20,2017-11-25,DAL,Home,OKC,W,97,81,37,75,0.493,15,35,0.429,8,11,0.727,8,43,25,11,5,17,18,29,80,0.363,13,35,0.371,10,13,0.769,8,39,24,12,1,17,16,1,1,107.7,89.9,90.1,0.147,0.467,0.607,52.4,67.6,12.2,11.1,0.593,17.6,20.5,0.107,0.444,16.5,81.4,0.125
22,21,2017-11-27,DAL,Away,SAS,L,108,115,41,85,0.48200000000000004,14,32,0.43799999999999994,12,17,0.706,4,40,25,7,0,11,19,43,82,0.524,10,24,0.41700000000000004,19,21,0.905,4,43,27,7,5,10,16,0,0,111.0,118.2,97.3,0.2,0.376,0.584,48.2,61.0,7.2,0.0,0.565,10.6,9.3,0.141,0.585,9.9,90.0,0.23199999999999998
23,22,2017-11-29,DAL,Home,BRK,L,104,109,39,84,0.46399999999999997,9,27,0.33299999999999996,17,21,0.81,7,44,26,5,3,11,23,42,90,0.467,11,29,0.379,14,25,0.56,14,52,25,5,1,14,21,1,0,106.2,111.3,97.9,0.25,0.321,0.5579999999999999,45.8,66.7,5.1,4.9,0.518,10.6,15.6,0.20199999999999999,0.528,12.2,72.5,0.156
24,23,2017-12-02,DAL,Home,LAC,W,108,82,36,79,0.456,16,35,0.457,20,26,0.769,15,54,24,4,7,15,20,30,86,0.349,6,22,0.273,16,23,0.696,11,38,16,8,6,10,20,1,1,120.0,91.1,90.0,0.32899999999999996,0.44299999999999995,0.597,58.7,66.7,4.4,10.9,0.557,14.2,35.7,0.253,0.384,9.4,78.0,0.18600000000000003
25,24,2017-12-04,DAL,Home,DEN,W,122,105,49,86,0.57,12,26,0.462,12,17,0.706,5,42,26,4,6,7,18,38,91,0.418,14,36,0.389,15,23,0.652,15,49,25,5,5,7,19,1,1,131.5,113.2,92.8,0.198,0.302,0.653,46.2,53.1,4.3,10.9,0.64,7.0,12.8,0.14,0.495,6.5,71.2,0.165
26,25,2017-12-06,DAL,Away,BOS,L,90,97,34,86,0.395,9,28,0.321,13,17,0.765,6,45,19,7,5,9,12,36,87,0.414,12,34,0.353,13,17,0.765,9,53,25,8,8,11,15,0,0,94.9,102.3,94.8,0.198,0.326,0.48100000000000004,45.9,55.9,7.4,9.4,0.44799999999999995,8.8,12.0,0.151,0.483,10.4,81.3,0.149
